ID,Title,Content,SKU,Product Type,parent_id,keywords
8733,Championå¨ heavyweight hooded pullover,,,simple,0,
8735,Port & Company cotton/poly tee - Juniors,,,simple,0,
8737,Port & Company heavyweight cotton tee - Ladies,,,simple,0,
8739,Gildan cotton tee - Juniors,,,simple,0,
8741,Gildan heavyweight cotton tee - Ladies,,,simple,0,
8744,Port & Company ringspun cotton tee - Ladies,,,simple,0,
8746,Gildan lightweight cotton tee - Juniors,,,simple,0,
8748,Anvil lightweight ringspun cotton tee - Ladies,,,simple,0,
8750,Gildan lightweight cotton V-neck tee - Juniors,,,simple,0,
8752,Next Level lightweight tri-blend tank - Juniors,,,simple,0,
8754,Gildan lightweight cotton tank - Juniors,,,simple,0,
8756,Bella + Canvas lightweight ring-spun cotton tee - Juniors,,,simple,0,
8758,Next Level ultralightweight cotton tee - Juniors,,,simple,0,
8760,Next Level ultralightweight cotton V-neck tee - Juniors,,,simple,0,
8762,Next Level ultralightweight cotton scoop tee - Juniors,,,simple,0,
8764,Gildan heavyweight cotton long sleeve tee - Ladies,,,simple,0,
8766,Next Level lightweight racerback tank - Juniors,,,simple,0,
8768,Next Level lightweight tri-blend tee - Ladies,,,simple,0,
8770,Next Level lightweight slub - Juniors,,,simple,0,
8772,Sport-tekå¨ lightweight performance tee - Ladies,,,simple,0,
8774,Next Level lightweight tri-blend scoop neck tee - Juniors,,,simple,0,
8776,Next Level lightweight tri-blend deep V-neck tee - Juniors,,,simple,0,
8778,Gildan lightweight cotton long sleeve tee - Juniors,,,simple,0,
8780,Next Level ultralightweight cotton long sleeve scoop tee - Juniors,,,simple,0,
8782,Bella + Canvas lightweight ring-spun cotton V-neck tee -Juniors,,,simple,0,
8784,Ultraclubå¨ performance sport tee - Ladies,,,simple,0,
8786,Bella + Canvas lightweight V-neck tee - Missy,,,simple,0,
8788,District ultralight ring-spun cotton slub V-neck tee - Juniors,,,simple,0,
8790,Bella + Canvas ultralightweight blend scoop neck tee - Missy,,,simple,0,
8792,District ultralight ring-spun poly/cotton microburn V-neck tee - Juniors,,,simple,0,
8794,Sport-tekå¨ performance V-neck tee - Ladies,,,simple,0,
8796,Ultraclubå¨ moisture wicking sport polo - Ladies,,,simple,0,
8798,Districtå¨ heavy cotton french terry full-zip hoodie - Juniors,,,simple,0,
8800,Districtå¨ medium weight marled fleece full-zip hoodie - Juniors,,,simple,0,
8802,Port & Company cotton tee - Youth,,,simple,0,
8805,Port & Company heavyweight cotton tee - Youth,,,simple,0,
8807,Gildan cotton tee - Youth,,,simple,0,
8809,Anvil heavyweight cotton tee - Youth,,,simple,0,
8811,Hanes cotton/poly tee - Youth,,,simple,0,
8813,Gildan cotton/poly tee - Youth,,,simple,0,
8815,Gildan heavyweight cotton tee - Youth,,,simple,0,
8818,Hanes Beefy-T ringspun cotton tee - Youth,,,simple,0,
8820,Anvil lightweight ringspun cotton tee - Youth,,,simple,0,
8822,Gildan cotton long sleeve tee - Youth,,,simple,0,
8825,Next Level lightweight tri-blend crew - Youth,,,simple,0,
8827,Sport-tekå¨ lightweight performance tee - Youth,,,simple,0,
8829,American Apparelå¨ cotton/poly tee - Kids,,,simple,0,
8831,American Apparelå¨ fine jersey short sleeve T - kids,,,simple,0,
8833,Hanes Tagless heavyweight cotton long sleeve tee - Youth,,,simple,0,
8835,American Apparelå¨ fine jersey short sleeve T - youth,,,simple,0,
8837,American Apparelå¨ cotton/poly tee - Youth,,,simple,0,
8839,Bella + Canvas lightweight ring-spun cotton tee - Youth,,,simple,0,
8841,Port & Company heavyweight cotton long sleeve tee - Youth,,,simple,0,
8843,Anvil cotton white ringer tee - Youth,,,simple,0,
8845,Ultraclubå¨ performance sport tee - Youth,,,simple,0,
8847,Sport-tekå¨ classic mesh reversible tank - Youth,,,simple,0,
8850,Sport-tekå¨ classic mesh shorts - Youth,,,simple,0,
8852,Sport-tekå¨ performance tee - Youth,,,simple,0,
8854,"Sport-tekå¨ baseball jersey, contrast arm & neck - Youth",,,simple,0,
8856,Sport-tekå¨ performance long sleeve tee - Youth,,,simple,0,
8858,Port & Companyå¨ medium weight poly/cotton hooded sweatshirt - Youth,,,simple,0,
8860,Haneså¨ medium weight cotton/poly pullover hoodie - Youth,,,simple,0,
8862,Port & Companyå¨ medium weight poly/cotton full-zip hooded sweatshirt - Youth,,,simple,0,
8864,Gildanå¨ medium weight cotton/poly full-zip hooded sweatshirt - Youth,,,simple,0,
8867,American Apparelå¨ medium weight cotton/poly zip hoodie - Youth,,,simple,0,
8869,Brushed cotton budget cap (Unstructured),,,simple,0,
8872,Brushed cotton budget cap (Structured),,,simple,0,
8874,Brushed cotton  (Unstructured),,,simple,0,
8876,Garment washed cotton (Unstructured),,,simple,0,
8878,Brushed cotton  (Structured),,,simple,0,
8880,Light weight brushed RPET (Unstructured),,,simple,0,
8882,Medium weight brushed cotton (Unstructured),,,simple,0,
8884,Heavy weight brushed cotton (Unstructured),,,simple,0,
8886,Synthetic linen cotton twill (Structured),,,simple,0,
8888,Rounded style unwashed chino (Structured),,,simple,0,
8890,Flat visor (Structured),,,simple,0,
8892,Medium weight brushed cotton (Structured),,,simple,0,
8894,Laundered chino with metal side eyelets (Unstructured),,,simple,0,
8896,Garment washed peached chino (Unstructured),,,simple,0,
8898,Laundered chino with heavy top stitching (Unstructured),,,simple,0,
8900,Pearl nylon  (Structured),,,simple,0,
8902,Brushed cotton with contrast features and stitching (Unstructured),,,simple,0,
8904,Brushed cotton with matching mesh back (Structured),,,simple,0,
8906,Brushed cotton with contrast sandwich (Structured),,,simple,0,
8908,Brushed cotton with white mesh back (Structured),,,simple,0,
8910,Cotton twill with contrast mesh back  (Unstructured),,,simple,0,
8912,5-panel cotton with matching mesh back (Structured),,,simple,0,
8914,"Color blocked, garment washed cotton (Unstructured)",,,simple,0,
8916,Brushed cotton with contrast visor and button (Unstructured),,,simple,0,
8918,Cotton twill camo budget cap (Structured),,,simple,0,
8920,Brushed cotton with contrast visor and button (Structured),,,simple,0,
8922,Brushed cotton with contrast sandwich (Unstructured),,,simple,0,
8924,Brushed cotton with matching mesh and polysnap (Structured),,,simple,0,
8926,Brushed cotton with contrast features and stitching (Structured),,,simple,0,
8928,Brushed cotton with accent visor wave (Structured),,,simple,0,
8930,Brushed cotton with white athletic mesh back (Structured),,,simple,0,
8932,Laundered chino with matching soft mesh back (Unstructured),,,simple,0,
8934,Laundered chino with contrast undervisor (Unstructured),,,simple,0,
8936,Laundered chino with contrast features (Unstructured),,,simple,0,
8938,Med weight cotton with contrast wrap visor and back vent (Structured),,,simple,0,
8942,Rounded style unwashed chino with contrast sandwich (Structured),,,simple,0,
8944,Laundered chino with contrast stitching (Unstructured),,,simple,0,
8946,Laundered chino with metal side eyelets (Unstructured),,,simple,0,
8948,Laundered chino with heavy top stitching (Unstructured),,,simple,0,
8950,Laundered chino with contrast heavy top stitching (Unstructured),,,simple,0,
8952,Laundered chino with contrast mesh and stitching (Unstructured),,,simple,0,
8954,Unwashed chino with white stitching and white performance mesh (Structured),,,simple,0,
8956,Laundered chino with heavy black top stitching (Unstructured),,,simple,0,
8958,Stretch fit cotton with matching mesh back (Structured),,,simple,0,
8960,Washed cotton digital camo pattern (Structured),,,simple,0,
8962,Garment washed cotton with contrast stitching and eyelets (Unstructured),,,simple,0,
8964,Poly/cotton Realtree pattern (Unstructured),,,simple,0,
8966,Poly/cotton Realtree pattern (Structured),,,simple,0,
8969,"Heavy, washed and distressed Realtree pattern with visor accent (Unstructured)",,,simple,0,
8972,5-panel cotton with matching mesh back (Structured),,,simple,0,
8974,Brushed cotton with white mesh back (Structured),,,simple,0,
8976,Brushed cotton with matching mesh back (Structured),,,simple,0,
8978,Cotton twill with contrast mesh back  (Unstructured),,,simple,0,
8980,Brushed cotton with matching mesh and polysnap (Structured),,,simple,0,
8982,Brushed cotton with white athletic mesh back (Structured),,,simple,0,
8984,Laundered chino with matching soft mesh back (Unstructured),,,simple,0,
8986,Poly/cotton Realtree pattern with trucker mesh (Structured),,,simple,0,
8988,Laundered chino with contrast mesh and stitching (Unstructured),,,simple,0,
8990,Unwashed chino with white stitching and white performance mesh (Structured),,,simple,0,
8992,Stretch fit cotton with matching mesh back (Structured),,,simple,0,
8995,Poly/cotton Realtree pattern with camo mesh (Structured),,,simple,0,
8998,Cotton twill camo budget cap (Structured),,,simple,0,
9000,Poly/cotton Realtree pattern with trucker mesh (Structured),,,simple,0,
9002,Washed cotton digital camo pattern (Structured),,,simple,0,
9004,Poly/cotton Realtree pattern (Unstructured),,,simple,0,
9007,Poly/cotton Realtree pattern (Structured),,,simple,0,
9009,Poly/cotton Realtree pattern with camo mesh (Structured),,,simple,0,
9011,Camo knit watchcap with cuff,,,simple,0,
9013,"Heavy, washed and distressed Realtree pattern with visor accent (Unstructured)",,,simple,0,
9015,"Cotton twill, high profile military cap",,,simple,0,
9017,Laundered chino vintage color military cap,,,simple,0,
9019,Brushed cotton,,,simple,0,
9021,Brushed cotton with contrast sandwich,,,simple,0,
9023,Brushed cotton with contrast sandwich and stitching,,,simple,0,
9025,Brushed cotton with athletic white mesh back,,,simple,0,
9027,Cuffed knit cap,,,simple,0,
9029,Knit skull cap,,"knit skull cap, knit, skull, cap, branded custom printed (prod name) , knit skull cap with your logo , promotional knit skull cap with your logo , short run custom printed knit skull cap",simple,0,
9031,R-Tek å¨ stretch fleece headband,,,simple,0,
